id,date,medtype,medium,headline
10645,2015-02-24T14:17:45Z,Internet,4 NOS.nl,Eurogroep verlengt Grieks noodprogramma
10647,2015-02-24T16:04:24Z,Internet,4 NOS.nl,Tweede Kamer positief over Grieks hervormingsplan
10655,2015-02-24T19:40:54Z,Internet,4 NOS.nl,Frysl̢n: een ijstempel en een takendiscussie #PS15
10689,2015-02-26T07:23:28Z,Internet,4 NOS.nl,Rabobank: resultaten moeten beter
10691,2015-02-26T08:14:42Z,Internet,4 NOS.nl,Malaise in de bouw bezorgt Heijmans rode cijfers
10693,2015-02-26T09:25:07Z,Internet,4 NOS.nl,Werkloosheid stijgt licht in januari
10699,2015-02-26T10:42:44Z,Internet,4 NOS.nl,'Wereld heeft niets geleerd van Nick Leeson'
10715,2015-02-26T14:54:59Z,Internet,4 NOS.nl,Tweede Kamer akkoord met aankoop acht JSF's
10723,2015-02-27T01:45:26Z,Internet,4 NOS.nl,Anti-regeringsmars in Athene loopt uit de hand
10729,2015-02-27T06:49:08Z,Internet,4 NOS.nl,Fugro boekt groot verlies door lage olieprijs
10737,2015-02-27T08:11:04Z,Internet,4 NOS.nl,Thuiszorgmedewerkers nog steeds in stadhuis Oss
10745,2015-02-27T11:11:53Z,Internet,4 NOS.nl,Duits parlement akkoord met verlenging Griekse steun
10759,2015-02-27T20:38:13Z,Internet,4 NOS.nl,Tsipras: nieuw steunprogramma niet nodig
10769,2015-02-28T08:11:28Z,Internet,4 NOS.nl,India wil verder groeien en hervormen
10777,2015-02-28T12:35:37Z,Internet,4 NOS.nl,Rutte: pas trots als de crisis voor iedereen voorbij is
10779,2015-02-28T15:03:24Z,Internet,4 NOS.nl,Bezetting stadhuis Oss voorbij
10787,2015-03-01T01:32:53Z,Internet,4 NOS.nl,Nederlander vast in VS voor stalking
10801,2015-03-02T04:59:11Z,Internet,4 NOS.nl,Vrees voor voorzieningen in kleine gemeenten
10815,2015-03-02T11:20:43Z,Internet,4 NOS.nl,Werkloosheid eurozone daalt naar laagste peil in 3 jaar
10831,2015-03-02T22:37:47Z,Internet,4 NOS.nl,Varoufakis: Grexit is het slechtste scenario
10843,2015-03-03T18:34:50Z,Internet,4 NOS.nl,'Nederland niet afhankelijk van Russisch gas'
10851,2015-03-04T04:33:51Z,Internet,4 NOS.nl,China verhoogt defensiebudget met 10 procent
10867,2015-03-04T18:54:27Z,Internet,4 NOS.nl,In Nederland komen ondernemers moeilijk aan krediet
10871,2015-03-05T05:38:42Z,Internet,4 NOS.nl,China wil werken aan stabiele groei
10877,2015-03-05T10:04:58Z,Internet,4 NOS.nl,Inflatie stijgt weer iets
10881,2015-03-05T10:59:19Z,Internet,4 NOS.nl,Dijsselbloem: niet extra bezuinigen
10905,2015-03-06T00:16:38Z,Internet,4 NOS.nl,Dijsselbloem: tot 2 miljard minder door gas
10929,2015-03-06T13:51:54Z,Internet,4 NOS.nl,Duitse wet voor meer vrouwen in topfuncties
10951,2015-03-07T04:08:27Z,Internet,4 NOS.nl,Meeste pensioenpremies naar beneden
10981,2015-03-09T05:00:38Z,Internet,4 NOS.nl,Record aan buitenlandse investeringen
10991,2015-03-09T08:57:46Z,Internet,4 NOS.nl,Gevraagd: 60 miljard euro staatsschuld
10997,2015-03-09T13:17:22Z,Internet,4 NOS.nl,Hoe pompt de ECB extra geld in de economie?
11003,2015-03-09T15:15:34Z,Internet,4 NOS.nl,Dijsselbloem: gesprek Griekenland gaat te langzaam
11023,2015-03-10T06:01:53Z,Internet,4 NOS.nl,Waarom sloot justitie een deal met Cees H.?
