i,perc,n,acc,cor,alpha
0,0.1,609,0.45422535211267606,0.19027272860460595,0.02528518408889091
0,0.1473684210526316,874,0.4894366197183099,0.12163464561988209,-0.0741921818738085
0,0.19473684210526315,1180,0.5387323943661971,0.3213390580880021,0.2845015486979465
0,0.24210526315789474,1446,0.602112676056338,0.5094857525444818,0.5087762348074737
0,0.2894736842105263,1742,0.5633802816901409,0.390021531658538,0.3741081572981676
0,0.33684210526315794,2039,0.6126760563380281,0.43304108644613615,0.4189334706681024
0,0.38421052631578945,2289,0.5880281690140845,0.452194160074234,0.42395394340758574
0,0.43157894736842106,2633,0.6091549295774648,0.4154213722395789,0.41300920051603585
0,0.4789473684210527,2899,0.5985915492957746,0.44577199468176537,0.4403575590959533
0,0.5263157894736842,3082,0.5598591549295775,0.3492989276745285,0.34404596168552326
0,0.5736842105263158,3491,0.6161971830985915,0.4961106438615441,0.42902930666405803
0,0.6210526315789474,3686,0.6056338028169014,0.4943057337229087,0.4924100887435777
0,0.6684210526315789,4034,0.6338028169014085,0.48257680957859184,0.47301112967363945
0,0.7157894736842105,4250,0.6408450704225352,0.5588612893165744,0.5544235037844842
0,0.7631578947368421,4605,0.6584507042253521,0.5272580389432779,0.5242627815099434
0,0.8105263157894737,4938,0.6267605633802817,0.45246266846467625,0.452413190652981
0,0.8578947368421053,5188,0.6126760563380281,0.4640589563129651,0.4543439523664653
0,0.9052631578947369,5491,0.6514084507042254,0.5466374903020291,0.5338505666628097
0,0.9526315789473684,5753,0.676056338028169,0.5772831510771574,0.5738085621970921
0,1.0,6038,0.6514084507042254,0.5355911174605746,0.5296246423161084
1,0.1,593,0.5422535211267606,0.33211127678361196,0.3323511696430026
1,0.1473684210526316,882,0.4964788732394366,0.20334135233244563,0.07546219696424727
1,0.19473684210526315,1203,0.5704225352112676,0.40447520113781543,0.3269887026007334
1,0.24210526315789474,1469,0.5915492957746479,0.38301914453746455,0.37427385427228566
1,0.2894736842105263,1768,0.573943661971831,0.41139836557213955,0.41183492407696043
1,0.33684210526315794,2054,0.5915492957746479,0.37762465253251404,0.3618956335381318
1,0.38421052631578945,2360,0.6091549295774648,0.45343410864156947,0.4212784361214428
1,0.43157894736842106,2653,0.6056338028169014,0.4486580420760385,0.43163043478260865
