words,freq,relevant_word_positive_mv,relevant_word_negative__mv,relevant_word_positive_mb,relevant_word_negative_mb,relevant_word_positive_wa,relevant_word_negative_wa
redding,1,1,,1,,,
hoop,1,1,,1,,,
openen,1,,,,,,
vrijwel,1,,,,,,
onveranderd,1,,,,,,
technologie,1,,,,,,
aanjagen,1,,,1,,1,
laagopgeleide,1,,,,,,
achterop,1,,,,,,1
beurshandel,1,,,,,,
marathonoverleg,1,,1,,,,
exporteren,1,,,,,,
duitsland,1,,,,,,
zoveel,1,,,,,,
ko,1,,,,,,
rentestijging,1,,1,,1,,
raadsel,1,,,,,,
verwenken,1,,,,,,
russisch,1,,,,,,
belastingplan,1,,,,,,
btw,1,,,,,,
merkel,1,,,,,,
keuze,1,,,,,,
prijs,1,,,,,,
bestendig,1,1,,1,,1,
deflatie,1,,,,1,,1
zien,1,,,,,,
vaart,1,,,,,,
cbs,1,,,,,,
gegroeid,1,1,,1,,1,
huizenkoper,1,,,,,,
grijpt,1,,,,,,
hypotheken,1,,,,,,
hten,1,,,,,,
investeerders,1,,,,,,
keren,1,,,,,,
via,1,,,,,,
aanbieder,1,,,,,,
overdracht,1,,,,,,
sneuvelen,1,,1,,1,,1
finish,1,,,,,,
utrecht,1,,,,,,
kop,1,,,,,,
dft,1,,,,,,
leggen,1,,,,,,
twaalf,1,,,,,,
verkiezing,1,,,,,,
langs,1,,,,,,
economisch,1,,,,,,
meetlat,1,,,,,,
klem,1,,,,,,1
beursbonanza,1,,,,,1,
maximaal,1,,,,,,
profiteren,1,1,,1,,1,
verkoop,1,,,,,,
huis,1,,,,,,
